TC_024,V1.0,Search,Partial match,PDF processed,Search partial word,"""mach""",Match results,No results,Fail,BUG_024,Search Logic,bug_024.png,"The search functionality relied only on exact keyword matching, which prevented partial or fuzzy matches and resulted in missing relevant results.",Improved search,2026-10-04 00:00:00,Failed,Partial search matching failed
TC_024,V1.1,Search,Partial match,PDF processed,Same steps,"""mach""",Match results,Match results,Pass,BUG_024,Search Logic,,Implemented partial and fuzzy matching logic in the search module to ensure relevant results are returned even for incomplete queries.,Verified,2026-11-04 00:00:00,Improved,Partial search working correctly
TC_025,V1.0,Search,Case sensitivity,PDF processed,Search lowercase,"""ai""",Match results,No match,Fail,BUG_025,Case Issue,bug_025.png,"Search logic incorrectly treated inputs as case-sensitive, causing valid matches to be ignored when case variations were used.",Fixed,2026-10-04 00:00:00,Failed,Search was case-sensitive incorrectly
TC_025,V1.1,Search,Case sensitivity,PDF processed,Same steps,"""ai""",Match results,Match results,Pass,BUG_025,Case Issue,,"Updated search logic to be case-insensitive, ensuring consistent matching regardless of input case variations.",Verified,2026-11-04 00:00:00,Correct,Case-insensitive search implemented
TC_026,V1.0,UI,Keyword display,PDF processed,View keywords,-,Clean UI,Broken layout,Fail,BUG_026,UI Issue,bug_026.png,"CSS styling issues caused improper rendering of UI components, affecting layout consistency and user interaction.",Fixed styling,2026-10-04 00:00:00,Failed,Keyword UI layout was broken
TC_026,V1.1,UI,Keyword display,PDF processed,Same steps,-,Clean UI,Clean UI,Pass,BUG_026,UI Issue,,Corrected CSS styling rules and ensured proper layout structure to maintain consistent UI rendering across components.,Verified,2026-11-04 00:00:00,Good UI,Keyword UI properly displayed
TC_027,V1.0,UI,Summary display,PDF processed,View summary,-,Clean paragraphs,Overflow,Fail,BUG_027,UI Issue,bug_027.png,Improper handling of content overflow in CSS led to layout breakage and visibility issues in the summary display.,Fix applied,2026-10-04 00:00:00,Failed,Summary layout overflowed UI
TC_027,V1.1,UI,Summary display,PDF processed,Same steps,-,Readable layout,Readable layout,Pass,BUG_027,UI Issue,,Adjusted overflow handling and container styling to prevent content from breaking layout boundaries.,Verified,2026-11-04 00:00:00,Good UI,Summary layout fixed
TC_028,V1.0,UI,Flashcard layout,PDF processed,View cards,-,Cards aligned,Overlap,Fail,BUG_028,UI Issue,bug_028.png,"Flexbox layout was incorrectly implemented, causing misalignment and overlapping of UI components.",Fixed CSS,2026-10-04 00:00:00,Failed,Flashcard UI alignment incorrect
TC_028,V1.1,UI,Flashcard layout,PDF processed,Same steps,-,Aligned cards,Aligned cards,Pass,BUG_028,UI Issue,,Refined flexbox implementation to ensure proper alignment and spacing of UI elements.,Verified,2026-11-04 00:00:00,Good UI,Flashcard UI aligned correctly
