TC_001,V1.0,PDF Upload,Upload valid PDF,User on upload page,Select file → Click Generate,Valid PDF,File processed successfully,Error shown,Fail,BUG_001,Upload Failure,bug_001.png,"File validation bug → The system did not properly validate file types during upload, allowing unsupported formats to be processed, which caused failures in downstream processing.",Fixed validation logic,10-04-2026,Initial failure,Initial upload failed due to validation issue
TC_001,V1.1,PDF Upload,Upload valid PDF,User on upload page,Same steps,Same data,File processed successfully,File processed successfully,Pass,BUG_001,Upload Failure,,Implemented strict file type validation to ensure only PDF files are accepted before processing.,Verified,11-04-2026,Retest successful,Upload functionality working as expected
TC_002,V1.0,File Validation,Upload non-PDF file,User on upload page,Upload .txt file,Invalid file,Error message displayed,File accepted,Fail,BUG_002,File Validation Issue,bug_002.png,"Missing validation → There was no implementation of file type and content validation, leading to acceptance of invalid inputs such as non-PDF files.",Added file check,10-04-2026,Failed,File type validation not implemented correctly
TC_002,V1.1,File Validation,Upload non-PDF file,User on upload page,Same steps,Same data,Error message displayed,Error message displayed,Pass,BUG_002,File Validation Issue,,Added input validation checks to reject unsupported file formats and invalid inputs at upload stage.,Verified,11-04-2026,Working,File validation correctly implemented
TC_003,V1.0,Text Extraction,Extract text from PDF,PDF uploaded,Click Generate,Valid PDF,Text preview shown,Empty preview,Fail,BUG_003,Text Extraction Issue,bug_003.png,"PDF parsing bug → The PDF extraction logic failed due to improper handling of document structure, resulting in incomplete or empty text extraction.",Improved extraction,10-04-2026,Failed,Text extraction failed due to parsing error
TC_003,V1.1,Text Extraction,Extract text from PDF,PDF uploaded,Same steps,Same data,Text preview shown,Text preview shown,Pass,BUG_003,Text Extraction Issue,,Improved PDF parsing logic by handling document structure more robustly to ensure complete and accurate text extraction.,Verified,11-04-2026,Working,Text extraction functioning properly
TC_004,V1.0,Keyword Extraction,Generate keywords,PDF processed,View contents,AI PDF,Relevant keywords,Irrelevant keywords,Fail,BUG_004,Keyword Accuracy Issue,bug_004.png,"No filtering logic → The keyword extraction module lacked filtering mechanisms, causing irrelevant and redundant keywords to be included in the output.",Added filtering,10-04-2026,Failed,Keyword results were irrelevant and noisy
TC_004,V1.1,Keyword Extraction,Generate keywords,PDF processed,Same steps,Same data,Relevant keywords,Relevant keywords,Pass,BUG_004,Keyword Accuracy Issue,,Introduced keyword filtering mechanisms including relevance scoring and duplicate removal to improve output quality.,Verified,11-04-2026,Improved,Keywords improved and relevant
TC_005,V1.0,Summary,Generate summary,PDF processed,View summary,Valid PDF,Summary displayed,Garbled text,Fail,BUG_005,Summary Issue,bug_005.png,"Sentence splitting error → The NLP tokenizer incorrectly segmented sentences due to irregular formatting in the extracted text, leading to broken summaries.",Improved segmentation,10-04-2026,Failed,Summary output was not properly structured
TC_005,V1.1,Summary,Generate summary,PDF processed,Same steps,Same data,Summary displayed,Summary displayed,Pass,BUG_005,Summary Issue,,Refined sentence tokenization logic by preprocessing text and handling irregular formatting to improve summary generation.,Verified,11-04-2026,Working,Summary output structured correctly
TC_006,V1.0,Flashcards,Generate flashcards,PDF processed,Go to flashcards page,Valid PDF,Flashcards displayed,No flashcards,Fail,BUG_006,Flashcard Issue,bug_006.png,"NLP generation issue → The flashcard generation logic relied on raw sentence extraction without contextual refinement, producing low-quality or meaningless outputs.",Improved logic,10-04-2026,Failed,Flashcards were not generated correctly
TC_006,V1.1,Flashcards,Generate flashcards,PDF processed,Same steps,Same data,Flashcards displayed,Flashcards displayed,Pass,BUG_006,Flashcard Issue,,Enhanced flashcard generation by improving sentence selection and adding basic contextual filtering for meaningful outputs.,Verified,11-04-2026,Working,Flashcards generated successfully
TC_007,V1.0,Navigation,Switch between pages,PDF processed,Click sidebar tabs,-,Page loads correctly,Page fails,Fail,BUG_007,Navigation Issue,bug_007.png,"State mismanagement → Application state was not maintained properly across components, leading to loss of data during navigation and UI inconsistencies.",Fixed navigation logic,10-04-2026,Failed,Navigation failed due to incorrect state handling
TC_007,V1.1,Navigation,Switch between pages,PDF processed,Same steps,-,Page loads correctly,Page loads correctly,Pass,BUG_007,Navigation Issue,,Implemented proper state management using global variables and controlled updates to maintain data consistency across pages.,Verified,11-04-2026,Working,Navigation working smoothly
TC_008,V1.0,State Management,Data persistence,PDF processed,Navigate tabs,-,Data retained,Data lost,Fail,BUG_008,State Reset Issue,bug_008.png,"Page reload issue → Default browser behavior triggered a page reload during form submission, which cleared the application state and removed processed data.",Prevented reload,10-04-2026,Failed,Data was lost during page navigation
TC_008,V1.1,State Management,Data persistence,PDF processed,Same steps,-,Data retained,Data retained,Pass,BUG_008,State Reset Issue,,Prevented default form submission behavior to avoid page reload and preserve application state during processing.,Verified,11-04-2026,Stable,Data persistence issue resolved
TC_009,V1.0,Search,Search keyword,PDF processed,Enter keyword → Search,AI,Relevant results,No results,Fail,BUG_009,Search Failure,bug_009.png,"Poor indexing → The search functionality did not implement proper indexing or matching algorithms, resulting in inaccurate or missing search results.",Improved search logic,10-04-2026,Failed,Search functionality returned incorrect results
TC_009,V1.1,Search,Search keyword,PDF processed,Same steps,Same data,Relevant results,Relevant results,Pass,BUG_009,Search Failure,,Improved search functionality by implementing better indexing and matching logic for accurate keyword retrieval.,Verified,11-04-2026,Working,Search results accurate
TC_010,V1.0,Error Handling,Server down,Backend off,Upload PDF,-,Error message shown,App crash,Fail,BUG_010,Error Handling Issue,bug_010.png,"Missing try-catch → The application lacked proper error handling mechanisms, causing unhandled exceptions and application crashes during runtime failures.",Added error handling,10-04-2026,Failed,Application crashed when backend was unavailable
TC_010,V1.1,Error Handling,Server down,Backend off,Same steps,-,Error message shown,Error message shown,Pass,BUG_010,Error Handling Issue,,Added try-catch error handling to manage runtime exceptions and prevent application crashes.,Verified,11-04-2026,Handled,Error handling working correctly
TC_011,V1.0,Upload,Upload large PDF,User on upload page,Upload large file,Large PDF,File processed,Slow response,Fail,BUG_011,Performance Issue,bug_011.png,Large processing delay → Processing large PDF files caused significant delays due to inefficient text handling and lack of optimization in the NLP pipeline.,Optimized logic,10-04-2026,Slow,Performance degraded for large file upload
